whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct
https://www.whisky.com/whisky-database/details/auchentoshan-2.html,Auchentoshan,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/ardbeg-wee-beastie.html,Ardbeg,5Y,,Wee Beastie,- 47.4%
https://www.whisky.com/whisky-database/details/ardmore-traditional-cask.html,Ardmore,,,Traditional Cask,- 46%
https://www.whisky.com/whisky-database/details/glenfarclas-a8ccab7815.html,Glenfarclas,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/glenfarclas-c7304c3ccd.html,Glenfarclas,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/woodford-reserve-2.html,Woodford Reserve,,,Distiller's Select,- 43.2%
https://www.whisky.com/whisky-database/details/woodford-reserve-reserve-bourbon-with-kristallglas-tumbler-new-design.html,Woodford Reserve,,/ 2022,Bourbon mit Kristallglas-Tumbler - neues Design,- 43.2%
https://www.whisky.com/whisky-database/details/-3af7e49721.html,Glenallachie,12Y,,,- 46%
https://www.whisky.com/whisky-database/details/wild-turkey-wild-turkey-101.html,Wild Turkey,,,101,- 50.5%
https://www.whisky.com/whisky-database/details/wild-turkey-101-proof.html,Wild Turkey,,,101 Proof,- 50.5%
https://www.whisky.com/whisky-database/details/tomatin-port-wood-finish-1.html,Tomatin,14Y,,Port Wood Finish,- 46%
https://www.whisky.com/whisky-database/details/tomatin-tomatin-port-wood-finish.html,Tomatin,14Y,,Port Wood Finish,- 46%
https://www.whisky.com/whisky-database/details/tomatin-port-wood-finish-miniature.html,Tomatin,14Y,,Port Wood Finish Miniatur,- 46%
https://www.whisky.com/whisky-database/details/balvenie-single-barrel-first-fill-2.html,Balvenie,12Y,,Single Barrel First Fill,- 47.8%
https://www.whisky.com/whisky-database/details/glen-garioch.html,Glen Garioch,12Y,,,- 48%
https://www.whisky.com/whisky-database/details/talisker-storm.html,Talisker,,,Storm,- 45.8%
https://www.whisky.com/whisky-database/details/talisker-talisker-storm-5.html,Talisker,,,Storm,- 45.8%
https://www.whisky.com/whisky-database/details/chivas-regal.html,Chivas Regal,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/glenrothes-clubflasche-2022.html,Glenrothes,11Y,/ 2022,- Clubflasche 2022,- 46%
https://www.whisky.com/whisky-database/details/glenmorangie-lasanta-1.html,Glenmorangie,12Y,,Lasanta,- 46%
https://www.whisky.com/whisky-database/details/the-singleton-of-dufftown-1.html,The Singleton of Dufftown,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/tullibardine-tullibardine-228-burgundy-finish.html,Tullibardine,,,228 Burgundy Finish,- 43%
https://www.whisky.com/whisky-database/details/tullibardine-burgundy-finish.html,Tullibardine,,,228 Burgundy Finish,- 46%
https://www.whisky.com/whisky-database/details/jack-daniels-daniels-single-barrel-metallbox.html,Jack Daniel‘s,,,Single Barrel - Metallbox,- 45%
https://www.whisky.com/whisky-database/details/jack-daniels-single-barrel.html,Jack Daniel‘s,,,Single Barrel,- 45%
https://www.whisky.com/whisky-database/details/jack-daniels-daniels-single-barrel-with-nosingglas.html,Jack Daniel‘s,,,Single Barrel mit Nosingglas,- 45%
https://www.whisky.com/whisky-database/details/jack-daniels-daniels-single-barrel-with-tumbler.html,Jack Daniel‘s,,,Single Barrel mit Tumbler,- 45%
https://www.whisky.com/whisky-database/details/auchentoshan-90.html,Auchentoshan,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/auchentoshan-delicate-and-layered.html,Auchentoshan,12Y,,Delicate and Layered,- 40%
https://www.whisky.com/whisky-database/details/glenmorangie-signet.html,Glenmorangie,,,Signet,- 46%
https://www.whisky.com/whisky-database/details/macallan-double-cask-1.html,Macallan,12Y,,Double Cask,- 40%
https://www.whisky.com/whisky-database/details/miniatur-macallan-double-cask-2.html,Macallan,12Y,,Double Cask,- 40%
https://www.whisky.com/whisky-database/details/laphroaig-px-cask-new-design.html,Laphroaig,,,PX Cask (new Design),- 48%
https://www.whisky.com/whisky-database/details/aberlour-non-chill-filtered-new-design.html,Aberlour,12Y,,Non Chill-Filtered - neues Design,- 48%
